dteday,hr,weathersit,temp,atemp,hum,windspeed,casual,cnt
2011-01-04,9,1,0.16,0.1515,0.64,0.2239,2,0.10153846153846154
2011-01-04,10,2,0.16,0.1364,0.69,0.3284,5,0.04205128205128205
2011-01-04,12,1,0.22,0.2273,0.51,0.1642,12,0.07897435897435898
2011-01-04,14,1,0.26,0.2576,0.52,0.2239,9,0.06358974358974359
2011-01-04,18,1,0.26,0.2576,0.48,0.1939999999999999,3,0.18564102564102564
2011-01-04,19,1,0.24,0.2576,0.48,0.1045,2,0.11384615384615385
2011-01-04,21,1,0.22,0.2727,0.64,0.0,0,0.048205128205128206
2011-01-04,22,1,0.22,0.2576,0.64,0.0896,1,0.03487179487179487
2011-01-04,23,1,0.2,0.2273,0.69,0.0896,2,0.010256410256410256
2011-01-05,1,1,0.16,0.1969999999999999,0.74,0.0896,0,0.005128205128205128
2011-01-05,5,1,0.22,0.2273,0.47,0.1642,0,0.0020512820512820513
2011-01-05,6,1,0.2,0.1969999999999999,0.47,0.2239,0,0.03282051282051282
2011-01-05,7,1,0.18,0.1818,0.43,0.1939999999999999,1,0.08923076923076922
2011-01-05,9,1,0.22,0.1969999999999999,0.37,0.3284,6,0.11692307692307692
2011-01-05,13,1,0.28,0.2576,0.3,0.2985,6,0.07179487179487179
2011-01-05,14,1,0.3,0.2879,0.28,0.1939999999999999,10,0.06256410256410257
2011-01-05,15,1,0.3,0.2879,0.28,0.1939999999999999,7,0.06256410256410257
2011-01-05,17,1,0.24,0.2273,0.38,0.1939999999999999,4,0.19384615384615383
2011-01-05,18,1,0.24,0.2424,0.38,0.1343,3,0.1723076923076923
2011-01-05,21,1,0.2,0.1969999999999999,0.51,0.1939999999999999,3,0.043076923076923075
2011-01-06,0,1,0.18,0.2424,0.55,0.0,0,0.010256410256410256
2011-01-06,1,1,0.16,0.2273,0.64,0.0,0,0.003076923076923077
2011-01-06,2,1,0.16,0.2273,0.64,0.0,0,0.0010256410256410256
2011-01-06,4,2,0.16,0.1969999999999999,0.64,0.0896,0,0.0
2011-01-06,6,2,0.14,0.1667,0.63,0.1045,0,0.035897435897435895
2011-01-06,8,1,0.16,0.2273,0.59,0.0,3,0.2235897435897436
2011-01-06,10,1,0.2,0.2576,0.47,0.0,3,0.04512820512820513
2011-01-06,11,1,0.22,0.2576,0.44,0.0896,2,0.059487179487179485
2011-01-06,12,1,0.26,0.2879,0.35,0.0,6,0.08512820512820513
2011-01-06,14,1,0.28,0.2727,0.36,0.1642,11,0.07076923076923076
2011-01-06,15,1,0.28,0.2727,0.36,0.0,8,0.06256410256410257
2011-01-06,16,1,0.26,0.2576,0.38,0.1642,12,0.08717948717948718
2011-01-06,18,1,0.22,0.2273,0.51,0.1343,5,0.16615384615384615
2011-01-06,22,2,0.22,0.2121,0.51,0.2836,1,0.052307692307692305
2011-01-07,0,2,0.2,0.1969999999999999,0.64,0.1939999999999999,4,0.01641025641025641
2011-01-07,1,2,0.2,0.1969999999999999,0.69,0.2239,2,0.006153846153846154
2011-01-07,2,2,0.2,0.1969999999999999,0.69,0.2239,0,0.0
2011-01-07,4,2,0.2,0.2121,0.69,0.1343,0,0.0
2011-01-07,5,3,0.22,0.2727,0.55,0.0,0,0.0041025641025641026
2011-01-07,6,2,0.2,0.2576,0.69,0.0,8,0.033846153846153845
2011-01-07,8,1,0.2,0.1969999999999999,0.51,0.2537,20,0.21435897435897436
2011-01-07,9,1,0.2,0.1818,0.47,0.2985,9,0.13641025641025642
2011-01-07,10,1,0.22,0.1969999999999999,0.37,0.3284,16,0.06358974358974359
2011-01-07,11,2,0.2,0.1969999999999999,0.4,0.2239,19,0.06769230769230769
2011-01-07,14,2,0.2,0.1969999999999999,0.4,0.2537,7,0.050256410256410255
2011-01-07,15,2,0.2,0.2121,0.37,0.1642,9,0.07282051282051281
2011-01-07,16,2,0.2,0.2121,0.37,0.1642,5,0.0882051282051282
2011-01-07,17,2,0.2,0.2576,0.37,0.0,9,0.19076923076923077
2011-01-07,18,1,0.2,0.2273,0.4,0.0896,7,0.12512820512820513
2011-01-07,19,1,0.16,0.1969999999999999,0.55,0.0896,3,0.09641025641025641
2011-01-07,21,1,0.18,0.1969999999999999,0.47,0.1343,0,0.038974358974358976
2011-01-07,22,2,0.18,0.1969999999999999,0.43,0.1642,2,0.035897435897435895
2011-01-07,23,2,0.18,0.1969999999999999,0.51,0.1642,1,0.014358974358974359
2011-01-08,0,2,0.18,0.1969999999999999,0.51,0.1642,1,0.024615384615384615
2011-01-08,1,2,0.18,0.2121,0.55,0.0896,1,0.015384615384615385
2011-01-08,2,2,0.18,0.2424,0.55,0.0,3,0.015384615384615385
2011-01-08,3,3,0.18,0.1969999999999999,0.55,0.1642,0,0.006153846153846154
2011-01-08,4,3,0.18,0.1969999999999999,0.55,0.1642,0,0.0
2011-01-08,5,2,0.16,0.1667,0.74,0.1642,0,0.0041025641025641026
2011-01-08,10,2,0.18,0.1969999999999999,0.8,0.1642,5,0.06153846153846154
2011-01-08,11,2,0.2,0.1818,0.69,0.3881,2,0.06256410256410257
2011-01-08,13,1,0.2,0.1818,0.44,0.3284,7,0.10358974358974359
2011-01-08,14,1,0.2,0.1667,0.32,0.4925,12,0.09641025641025641
2011-01-08,17,1,0.16,0.1212,0.37,0.5522,5,0.06974358974358974
2011-01-08,18,1,0.14,0.1212,0.39,0.2985,3,0.055384615384615386
2011-01-08,21,1,0.12,0.1061,0.39,0.3582,2,0.036923076923076927
2011-01-08,22,1,0.12,0.1061,0.36,0.3881,1,0.033846153846153845
2011-01-09,1,1,0.1,0.0606,0.42,0.4627,0,0.011282051282051283
2011-01-09,2,1,0.1,0.0606,0.46,0.4627,0,0.010256410256410256
2011-01-09,4,1,0.08,0.0909,0.53,0.1939999999999999,0,0.0
2011-01-09,5,1,0.08,0.0909,0.53,0.1939999999999999,0,0.0
2011-01-09,6,1,0.1,0.0909,0.49,0.2836,0,0.0
2011-01-09,7,1,0.08,0.0909,0.53,0.1939999999999999,1,0.005128205128205128
2011-01-09,8,1,0.1,0.0909,0.49,0.2836,0,0.009230769230769232
2011-01-09,9,1,0.12,0.0758,0.46,0.5224,0,0.018461538461538463
2011-01-09,10,1,0.14,0.1061,0.43,0.3881,0,0.04923076923076923
2011-01-09,12,1,0.18,0.1364,0.37,0.4478,4,0.0841025641025641
2011-01-09,13,1,0.2,0.1667,0.34,0.4478,6,0.0758974358974359
2011-01-09,16,1,0.2,0.1667,0.34,0.4478,13,0.09333333333333334
2011-01-09,17,1,0.18,0.1515,0.37,0.3881,3,0.06256410256410257
2011-01-09,18,1,0.16,0.1364,0.4,0.3284,4,0.048205128205128206
2011-01-09,19,1,0.16,0.1364,0.43,0.3284,1,0.041025641025641026
2011-01-09,20,1,0.14,0.1212,0.46,0.2537,0,0.03794871794871795
2011-01-09,21,1,0.14,0.1061,0.46,0.4179,1,0.019487179487179488
2011-01-09,22,1,0.14,0.1212,0.46,0.2985,5,0.014358974358974359
2011-01-10,0,1,0.12,0.1212,0.5,0.2836,2,0.0041025641025641026
2011-01-10,2,1,0.12,0.1212,0.5,0.2239,0,0.0020512820512820513
2011-01-10,3,1,0.12,0.1212,0.5,0.2239,0,0.0
2011-01-10,4,1,0.1,0.1212,0.54,0.1343,1,0.0020512820512820513
2011-01-10,6,1,0.12,0.1212,0.5,0.2836,0,0.03076923076923077
2011-01-10,11,2,0.16,0.1364,0.47,0.2836,2,0.029743589743589743
2011-01-10,13,2,0.2,0.1818,0.4,0.2836,4,0.05435897435897436
2011-01-10,14,2,0.2,0.1969999999999999,0.4,0.2239,0,0.04717948717948718
2011-01-10,15,2,0.2,0.1969999999999999,0.4,0.2239,2,0.04512820512820513
2011-01-10,16,1,0.2,0.2121,0.4,0.1343,4,0.07487179487179488
2011-01-10,17,1,0.2,0.2273,0.4,0.1045,4,0.18153846153846154
2011-01-10,19,1,0.16,0.1667,0.47,0.1642,3,0.09641025641025641
2011-01-10,20,1,0.16,0.1667,0.5,0.1642,1,0.07487179487179488
2011-01-10,22,1,0.14,0.1515,0.59,0.1642,2,0.02358974358974359
2011-01-10,23,1,0.14,0.1515,0.59,0.1642,0,0.017435897435897435
2011-01-11,0,1,0.14,0.1667,0.59,0.1045,2,0.011282051282051283
2011-01-11,1,1,0.14,0.1515,0.59,0.1642,0,0.0020512820512820513
2011-01-11,2,2,0.16,0.1515,0.55,0.1939999999999999,0,0.0020512820512820513
2011-01-11,5,2,0.16,0.1818,0.55,0.1343,0,0.005128205128205128
2011-01-11,6,2,0.16,0.1818,0.55,0.1343,0,0.02666666666666667
2011-01-11,7,2,0.16,0.2273,0.55,0.0,2,0.10051282051282051
2011-01-11,8,2,0.18,0.2121,0.51,0.0896,3,0.22153846153846155
2011-01-11,9,2,0.18,0.1969999999999999,0.51,0.1642,3,0.13230769230769232
2011-01-11,10,2,0.2,0.2121,0.51,0.1642,3,0.05435897435897436
2011-01-11,11,2,0.2,0.2121,0.47,0.1343,4,0.03487179487179487
2011-01-11,12,2,0.2,0.2273,0.51,0.1045,2,0.057435897435897436
2011-01-11,13,2,0.2,0.2273,0.59,0.0896,6,0.052307692307692305
2011-01-11,15,2,0.16,0.1969999999999999,0.8,0.0896,2,0.04717948717948718
2011-01-11,18,3,0.16,0.1818,0.93,0.1045,1,0.09641025641025641
2011-01-11,19,3,0.16,0.2273,0.93,0.0,0,0.05128205128205128
2011-01-11,21,3,0.16,0.1969999999999999,0.86,0.0896,0,0.019487179487179488
2011-01-12,1,2,0.16,0.1818,0.86,0.1045,0,0.005128205128205128
2011-01-12,5,1,0.14,0.1515,0.86,0.1642,0,0.0041025641025641026
2011-01-12,8,1,0.16,0.1667,0.59,0.1642,3,0.13025641025641024
2011-01-12,9,1,0.16,0.1364,0.59,0.3284,3,0.08205128205128205
2011-01-12,11,1,0.2,0.1818,0.51,0.3881,3,0.03487179487179487
2011-01-12,14,1,0.2,0.1818,0.47,0.3284,0,0.0441025641025641
2011-01-12,15,1,0.2,0.1667,0.47,0.4179,1,0.04923076923076923
2011-01-12,16,1,0.22,0.1969999999999999,0.44,0.3284,5,0.06871794871794872
2011-01-12,17,1,0.2,0.1818,0.47,0.3582,0,0.14153846153846153
2011-01-12,18,1,0.2,0.1515,0.47,0.5224,2,0.13948717948717948
2011-01-12,19,1,0.18,0.1515,0.47,0.4179,1,0.0841025641025641
2011-01-12,23,1,0.14,0.1061,0.59,0.4179,1,0.019487179487179488
2011-01-13,0,1,0.14,0.1212,0.59,0.2836,1,0.006153846153846154
2011-01-13,1,1,0.14,0.1212,0.5,0.2836,0,0.0010256410256410256
2011-01-13,2,1,0.14,0.1212,0.5,0.3582,0,0.0010256410256410256
2011-01-13,4,1,0.14,0.1212,0.5,0.2537,0,0.003076923076923077
2011-01-13,5,1,0.14,0.1212,0.5,0.2985,0,0.0020512820512820513
2011-01-13,6,1,0.12,0.1515,0.54,0.1343,0,0.027692307692307693
2011-01-13,8,1,0.14,0.1364,0.5,0.1939999999999999,5,0.20615384615384616
2011-01-13,10,2,0.16,0.1364,0.5,0.3582,2,0.03794871794871795
2011-01-13,11,2,0.2,0.1667,0.44,0.4478,4,0.036923076923076927
2011-01-13,12,1,0.2,0.1667,0.44,0.4179,3,0.052307692307692305
2011-01-13,15,1,0.24,0.2121,0.38,0.2985,5,0.06051282051282051
2011-01-13,17,1,0.2,0.1818,0.4,0.2836,4,0.16512820512820514
2011-01-13,18,1,0.2,0.1818,0.4,0.3284,3,0.14666666666666667
2011-01-13,20,1,0.16,0.1515,0.47,0.2239,0,0.06461538461538462
2011-01-13,21,1,0.14,0.1212,0.46,0.2985,0,0.04
2011-01-13,23,1,0.12,0.1364,0.5,0.1939999999999999,1,0.014358974358974359
2011-01-14,0,1,0.12,0.1364,0.5,0.1939999999999999,0,0.013333333333333334
2011-01-14,1,1,0.1,0.1212,0.54,0.1642,0,0.0041025641025641026
2011-01-14,5,1,0.1,0.1364,0.54,0.0896,0,0.0071794871794871795
2011-01-14,6,1,0.1,0.1818,0.54,0.0,0,0.01641025641025641
2011-01-14,7,1,0.1,0.1212,0.74,0.1642,0,0.07076923076923076
2011-01-14,8,1,0.12,0.1667,0.68,0.0,2,0.16102564102564101
2011-01-14,10,1,0.18,0.1818,0.55,0.1939999999999999,4,0.0441025641025641
2011-01-14,12,1,0.2,0.1969999999999999,0.44,0.2537,2,0.06153846153846154
2011-01-14,14,1,0.22,0.2121,0.41,0.2836,5,0.06461538461538462
2011-01-14,17,1,0.22,0.2273,0.41,0.1642,4,0.16205128205128205
2011-01-14,20,1,0.18,0.2424,0.59,0.0,0,0.06871794871794872
2011-01-14,23,2,0.18,0.2424,0.55,0.0,1,0.02666666666666667
2011-01-15,0,1,0.18,0.2424,0.55,0.0,3,0.027692307692307693
2011-01-15,1,2,0.16,0.1969999999999999,0.59,0.0896,2,0.019487179487179488
2011-01-15,4,2,0.16,0.2273,0.59,0.0,0,0.0041025641025641026
2011-01-15,5,1,0.16,0.2273,0.59,0.0,0,0.0
2011-01-15,7,1,0.14,0.2121,0.63,0.0,1,0.009230769230769232
2011-01-15,12,1,0.24,0.2273,0.48,0.2239,15,0.09025641025641026
2011-01-15,13,1,0.28,0.2576,0.38,0.2985,21,0.10256410256410256
2011-01-15,14,1,0.3,0.2879,0.39,0.2836,26,0.12
2011-01-15,16,2,0.34,0.3333,0.34,0.1939999999999999,33,0.13025641025641024
2011-01-15,18,2,0.3,0.2879,0.45,0.2537,15,0.08512820512820513
2011-01-15,19,2,0.32,0.303,0.39,0.2537,14,0.07487179487179488
2011-01-16,0,1,0.26,0.303,0.56,0.0,6,0.038974358974358976
2011-01-16,1,1,0.26,0.2727,0.56,0.1343,4,0.022564102564102566
2011-01-16,2,1,0.26,0.2879,0.56,0.0896,3,0.015384615384615385
2011-01-16,4,1,0.26,0.2576,0.56,0.1642,0,0.0
2011-01-16,6,2,0.26,0.2576,0.56,0.1642,0,0.0
2011-01-16,7,2,0.24,0.2121,0.56,0.2985,0,0.0020512820512820513
2011-01-16,8,1,0.22,0.2121,0.55,0.2836,0,0.017435897435897435
2011-01-16,10,1,0.22,0.2121,0.51,0.2836,8,0.08
2011-01-16,11,1,0.24,0.2273,0.44,0.2537,23,0.09435897435897436
2011-01-16,14,1,0.28,0.2727,0.36,0.2537,22,0.09230769230769231
2011-01-16,15,1,0.26,0.2424,0.38,0.2537,35,0.11487179487179487
2011-01-16,16,1,0.24,0.2273,0.38,0.2239,22,0.10051282051282051
2011-01-16,17,1,0.22,0.2121,0.37,0.2537,23,0.10666666666666667
2011-01-16,20,1,0.18,0.1969999999999999,0.47,0.1642,7,0.057435897435897436
2011-01-16,21,1,0.18,0.1969999999999999,0.51,0.1642,6,0.027692307692307693
2011-01-16,22,2,0.2,0.2121,0.49,0.1343,2,0.020512820512820513
2011-01-16,23,2,0.2,0.2273,0.4,0.1045,0,0.017435897435897435
2011-01-17,0,2,0.2,0.1969999999999999,0.47,0.2239,1,0.01641025641025641
2011-01-17,2,2,0.18,0.1667,0.43,0.2537,0,0.0071794871794871795
2011-01-17,3,2,0.18,0.1818,0.43,0.1939999999999999,0,0.0010256410256410256
2011-01-17,6,2,0.18,0.1818,0.43,0.1939999999999999,0,0.0041025641025641026
2011-01-17,8,2,0.16,0.1515,0.47,0.2239,3,0.03282051282051282
2011-01-17,10,2,0.16,0.1515,0.5,0.2537,7,0.057435897435897436
2011-01-17,11,2,0.16,0.1515,0.55,0.1939999999999999,9,0.06461538461538462
2011-01-17,12,2,0.18,0.1969999999999999,0.47,0.1343,10,0.08102564102564103
2011-01-17,14,2,0.18,0.2121,0.43,0.1045,12,0.08717948717948718
2011-01-17,17,1,0.2,0.1969999999999999,0.51,0.1939999999999999,4,0.07179487179487179
2011-01-17,18,2,0.18,0.1667,0.55,0.2537,7,0.09333333333333334
2011-01-17,19,3,0.18,0.1818,0.59,0.1939999999999999,2,0.06051282051282051
2011-01-17,20,3,0.16,0.1515,0.8,0.1939999999999999,4,0.03282051282051282
2011-01-17,21,3,0.16,0.1515,0.8,0.1939999999999999,3,0.02666666666666667
2011-01-17,23,3,0.16,0.1364,0.86,0.2836,1,0.003076923076923077
2011-01-18,13,2,0.2,0.1969999999999999,0.86,0.2239,0,0.021538461538461538
2011-01-18,16,2,0.22,0.2273,0.87,0.1939999999999999,0,0.06153846153846154
2011-01-18,17,2,0.22,0.2273,0.82,0.1939999999999999,1,0.12717948717948718
2011-01-18,18,2,0.22,0.2273,0.8,0.1642,1,0.13538461538461538
2011-01-18,19,2,0.22,0.2273,0.8,0.1343,1,0.10051282051282051
2011-01-18,20,2,0.22,0.2727,0.87,0.0,0,0.0841025641025641
2011-01-18,21,2,0.22,0.2424,0.93,0.1045,0,0.041025641025641026
2011-01-18,22,2,0.22,0.2576,0.93,0.0896,0,0.03282051282051282
2011-01-19,5,2,0.22,0.2576,0.93,0.0896,0,0.006153846153846154
2011-01-19,8,2,0.24,0.2576,0.93,0.1045,1,0.20102564102564102
2011-01-19,10,2,0.26,0.2727,0.93,0.1343,1,0.04717948717948718
2011-01-19,11,2,0.28,0.303,0.87,0.0896,5,0.052307692307692305
2011-01-19,12,2,0.3,0.3182,0.81,0.0896,5,0.07076923076923076
2011-01-19,14,1,0.4,0.4091,0.58,0.2537,7,0.0758974358974359
2011-01-19,15,1,0.4,0.4091,0.54,0.2836,4,0.08307692307692308
2011-01-19,16,1,0.38,0.3939,0.58,0.3881,10,0.10564102564102563
2011-01-20,1,1,0.26,0.2727,0.56,0.0,2,0.0041025641025641026
2011-01-20,4,1,0.26,0.2576,0.56,0.1642,0,0.0
2011-01-20,5,1,0.24,0.2273,0.6,0.2239,0,0.005128205128205128
2011-01-20,6,1,0.22,0.2121,0.6,0.2239,0,0.03487179487179487
2011-01-20,9,2,0.24,0.2273,0.52,0.2239,3,0.14564102564102563
2011-01-20,10,1,0.26,0.2273,0.48,0.2985,1,0.057435897435897436
2011-01-20,11,2,0.28,0.2727,0.45,0.1642,5,0.06871794871794872
2011-01-20,14,2,0.3,0.303,0.45,0.1343,6,0.08205128205128205
2011-01-20,15,2,0.32,0.3182,0.45,0.1939999999999999,8,0.07076923076923076
2011-01-20,17,2,0.3,0.3182,0.49,0.1045,8,0.2194871794871795
2011-01-20,18,2,0.26,0.2576,0.56,0.1939999999999999,1,0.18871794871794872
2011-01-20,20,2,0.26,0.2424,0.6,0.2836,2,0.1282051282051282
2011-01-20,21,2,0.24,0.2273,0.6,0.2537,3,0.057435897435897436
2011-01-20,22,2,0.24,0.2121,0.65,0.2836,0,0.05641025641025641
2011-01-20,23,2,0.24,0.2121,0.65,0.3284,3,0.03076923076923077
2011-01-21,1,2,0.24,0.2273,0.7,0.2537,0,0.005128205128205128
2011-01-21,3,3,0.22,0.2121,0.8,0.2985,0,0.0
2011-01-21,4,2,0.22,0.2576,0.87,0.0896,0,0.0
2011-01-21,5,1,0.24,0.1969999999999999,0.6,0.4179,1,0.0041025641025641026
2011-01-21,7,1,0.2,0.1818,0.51,0.2836,2,0.06871794871794872
2011-01-21,8,1,0.2,0.1818,0.47,0.3284,7,0.22153846153846155
2011-01-21,9,1,0.2,0.1818,0.51,0.3582,7,0.16923076923076924
2011-01-21,14,1,0.2,0.1515,0.25,0.5224,6,0.06256410256410257
2011-01-21,15,1,0.16,0.1212,0.26,0.4478,4,0.06564102564102564
2011-01-21,16,1,0.16,0.1364,0.26,0.3582,0,0.09846153846153846
2011-01-21,20,1,0.1,0.0758,0.33,0.4179,1,0.05333333333333334
2011-01-21,23,1,0.06,0.0455,0.38,0.3284,0,0.02666666666666667
2011-01-22,2,2,0.04,0.0303,0.41,0.2537,0,0.010256410256410256
2011-01-22,3,2,0.04,0.0303,0.41,0.2836,1,0.006153846153846154
2011-01-22,8,1,0.02,0.0,0.44,0.3284,1,0.02666666666666667
2011-01-22,10,2,0.04,0.0606,0.41,0.1642,3,0.05333333333333334
2011-01-22,11,2,0.06,0.0758,0.38,0.1343,4,0.06358974358974359
2011-01-22,12,2,0.06,0.1061,0.38,0.1045,10,0.07076923076923076
2011-01-22,14,1,0.1,0.1364,0.33,0.1045,11,0.0758974358974359
2011-01-22,16,1,0.12,0.1364,0.28,0.1939999999999999,11,0.0841025641025641
2011-01-22,17,1,0.12,0.1969999999999999,0.28,0.0,8,0.06769230769230769
2011-01-22,18,1,0.08,0.0909,0.35,0.1939999999999999,0,0.05435897435897436
2011-01-22,19,1,0.08,0.1061,0.35,0.1343,6,0.059487179487179485
2011-01-22,20,1,0.06,0.0758,0.45,0.1642,1,0.04512820512820513
2011-01-22,22,1,0.06,0.1515,0.49,0.0,7,0.029743589743589743
2011-01-22,23,1,0.04,0.0758,0.57,0.1045,2,0.03282051282051282
2011-01-23,0,1,0.04,0.0758,0.57,0.1045,2,0.021538461538461538
2011-01-23,2,1,0.02,0.0606,0.62,0.1343,3,0.017435897435897435
2011-01-23,5,2,0.04,0.0758,0.57,0.1045,0,0.0020512820512820513
2011-01-23,6,2,0.04,0.0758,0.57,0.1045,0,0.0
2011-01-23,7,1,0.08,0.1061,0.58,0.1642,1,0.0010256410256410256
2011-01-23,11,1,0.14,0.1364,0.43,0.2239,22,0.10051282051282051
2011-01-23,12,1,0.16,0.1212,0.37,0.4627,24,0.11794871794871795
2011-01-23,13,1,0.14,0.1061,0.33,0.3881,12,0.0882051282051282
2011-01-23,14,1,0.16,0.1364,0.28,0.3582,17,0.1117948717948718
2011-01-23,16,1,0.16,0.1364,0.26,0.3284,9,0.06564102564102564
2011-01-23,18,1,0.12,0.1212,0.3,0.2537,5,0.04923076923076923
2011-01-23,20,1,0.1,0.1061,0.36,0.2537,4,0.03487179487179487
2011-01-23,21,1,0.1,0.1061,0.36,0.1939999999999999,5,0.024615384615384615
2011-01-23,22,1,0.08,0.0909,0.38,0.1939999999999999,5,0.027692307692307693
2011-01-23,23,1,0.06,0.0606,0.41,0.2239,4,0.020512820512820513
2011-01-24,0,1,0.06,0.0606,0.41,0.1939999999999999,0,0.006153846153846154
2011-01-24,1,1,0.04,0.0455,0.45,0.1939999999999999,0,0.0
2011-01-24,3,1,0.04,0.0303,0.45,0.2537,0,0.0
2011-01-24,5,1,0.02,0.0606,0.48,0.1343,0,0.0041025641025641026
2011-01-24,7,1,0.02,0.1212,0.48,0.0,5,0.08512820512820513
2011-01-24,10,1,0.1,0.1364,0.42,0.0,6,0.04
2011-01-24,12,2,0.12,0.1364,0.42,0.1939999999999999,11,0.06358974358974359
2011-01-24,15,1,0.16,0.1667,0.4,0.1642,7,0.057435897435897436
2011-01-24,16,1,0.16,0.1515,0.47,0.2537,4,0.07076923076923076
2011-01-24,17,1,0.14,0.1212,0.5,0.2537,6,0.18769230769230769
2011-01-24,20,1,0.14,0.1364,0.59,0.1939999999999999,1,0.08205128205128205
2011-01-24,21,1,0.14,0.1515,0.63,0.1642,6,0.059487179487179485
2011-01-24,22,2,0.14,0.1364,0.63,0.2239,3,0.03487179487179487
2011-01-24,23,2,0.16,0.1515,0.64,0.2537,3,0.02358974358974359
2011-01-25,0,2,0.16,0.1364,0.69,0.2836,3,0.008205128205128205
2011-01-25,1,2,0.16,0.1667,0.69,0.1642,0,0.0041025641025641026
2011-01-25,2,1,0.16,0.1515,0.69,0.2239,0,0.0010256410256410256
2011-01-25,4,1,0.14,0.1667,0.74,0.1045,0,0.0
2011-01-25,5,1,0.14,0.1364,0.74,0.2239,0,0.008205128205128205
2011-01-25,8,2,0.16,0.1818,0.74,0.1343,5,0.24307692307692308
2011-01-25,9,2,0.2,0.2273,0.64,0.0896,10,0.14666666666666667
2011-01-25,10,2,0.22,0.2424,0.6,0.1045,6,0.055384615384615386
2011-01-25,12,2,0.26,0.2879,0.56,0.0896,21,0.1076923076923077
2011-01-25,13,2,0.26,0.2727,0.56,0.1343,21,0.09435897435897436
2011-01-25,14,2,0.3,0.3333,0.45,0.0,11,0.06871794871794872
2011-01-25,17,1,0.3,0.3333,0.45,0.0,14,0.22666666666666666
2011-01-25,18,2,0.3,0.3182,0.49,0.0896,7,0.22974358974358974
